,Name,Style,ABV,IBU,Rating,Description
2184,Triporteur Belgian Oak Medium Toast,Belgian Strong Ale,9.2,,,Triporteur Belgian Oak Medium Toast
2185,Garage Beer Co Triangles,India Pale Ale,5.0,,3.93,"Garage Beer Co Triangles
Session IPA"
2186,Dosmares Rubia,Blonde Ale,4.6,21.0,3.16,"Dosmares Rubia Blonde Ale
Cerveza ligera y refrescante. Color dorado y espuma cremosa blanca. Aroma moderado a lúpulo, notas florales y herbáceas. Cuerpo ligero y carbonatación media. Amargor suave con notas maltosas y dulces."
2187,Drunken Bros Bowie,Imperial Stout,10.0,40.0,4.16,"Drunken Bros Bowie
Imperial Stout
Os presentamos una Imperial stout dentro de la memorial series elaborada con cacao puro y vainilla de Madagascar.
Inicialmente se percibe un aroma intenso a medio camino entre el cacao y la vainilla, con un fondo ligeramente licoroso.
En boca se presenta mu ..."
2188,Hope Supporter,Porter,4.8,30.0,,"Hope Supporter
English Style Dark Ruby Beer
Cerveza negra estilo Porter, elaborada en colaboración con SUPPORT PENEDÈS BREWERIES de Sant Sadurní d’Anoia."
2189,Hope Jalisco,Pale Ale,4.5,20.0,,"Hope Jalisco
Tequila - Lima
Tequila Pale Ale
Cerveza aromatizada con Tequila y Lima. Un toque fervescente y fresca."
2190,Hope Toca Fusta,Strong Ale,9.0,65.0,,"Hope Toca Fusta
Brandy Oak Aged
American Strong Ale
Envejecida con madera de roble americano tostado fuerte y brandy."
2191,Golden Promise Best Secret Rye IPA,India Pale Ale,7.2,70.0,3.58,"Best Secret Rye IPA
El secreto de esta ‘promesa dorada’ es el lúpulo Vic Secret y un toque de centeno, ingredientes que le confieren aromas a frutas tropicales y un punto picante de lo más excitante"
2192,Panda Bazaar,Saison,5.6,30.0,,"Panda Bazaar
Hoppy Saison con lemongrass homenaje al mitico grupo malagueño de Glam rock, que aún hoy es un gran desconocido para el público local a pesar de que vendieron millones de discos en Japon alla por los lejanos 80."
2193,Milana / Malnombre Carolina del Sour,Sour Ale,4.7,,,"Carolina del Sour
Sour Ale para con kombucha (té fermentado), con hibisco y frutos del bosque"
2194,Antoñita Jengibre,"Spice, Herb o Vegetable Beer",6.0,,,"Antoñita Jengibre
Antoñita La Moderna con Jengibre"
2195,Garagart Abenaki,American IPA,6.8,58.0,3.65,"Garagart Abenaki
New England IPA
Abenaki es una cerveza que qulere honrar a una de las tribus amerlndlas del estado de Vermont, perteneciente a la región de Nueva Inglaterra. Abenakl slgnﬂca ‘La Gente de la Tierra del Amanecer’. Nueva Inglaterra se considera el lugar de nacimiento de l ..."
2196,Tito Blas Ryot,American Wheat or Rye Beer,5.0,54.0,,"Tito Blas Ryot
Rye APA
Color dorado, carbonatacion media baja, espuma cremosa, aromas cítricos, tropicales y menta... Amarga en boca y ligera en trago. Refrescante"
2197,Tito Blas / Tegobi Negua,Belgian Dark Strong Ale,10.0,,,"Tito Blas / Tegobi Negua
Winter Ale"
2198,Tito Blas Horia,India Pale Ale,6.0,50.0,3.43,"Tito Blas Horia
IPA"
2199,Tito Blas Pa-Bro,Stout,4.8,37.0,3.32,"Tito Blas Pa-Bro
Stout"
2200,Tito Blas / Tegobi November Bilbao,Irish Red Ale,6.0,,,"IRA, irish red Ale
Maravilloso fermentado de cebada, rojo, maltoso y sabroso."
2201,Cervecera libre / La Txika de la CervezaWanted II,White IPA,5.8,,,"Wanted II
White IPA. 
Más afrutada que la Wanted"
2202,Cervecera libre / La Txika de la Cerveza Wanted,White IPA,6.8,52.0,,"Wanted
White IPA con hojas de lima y limonero.
Sabor a plátano característico de la levadura belga con el toque ácido de las hojas de lima y limonero."
2203,La Txika de la Cerveza Pink Porter,Robust Porter,7.1,26.0,3.43,"Pink Porter
Robust Porter con Pimienta Rosa y Jamaicana.
Robust Porter de cuerpo ligero característico de las porter con el dulzor picante que le proporciona la pimienta rosa y el amaderado de la jamaicana."
2204,La Txika de la Cerveza Bizipa,American IPA,4.0,35.0,,"Bizipa
Session IPA. Suave y cítrica.
La mezcla de lúpulos dejan aromas afrutados , cítricos y refrescantes."
2205,Naparbier / Brew & Roll Obsequium,Belgian Dark Strong Ale,10.0,,3.76,"Naparbier / Brew & Roll Obsequium
Belgian Dark Strong Ale With Raspberries
Belgian Dark Strong Ale con frambuesas. Cerveza con un color ambar profundo,con el alcohol muy bien integrado y en la que la acidez de la frambuesa está compensada con el uso intensivo de las maltas. Dándonos como re ..."
2206,Península Porter,Porter,5.0,28.0,,"Península Porter
Cerveza oscura con notas a malta tostada, aromas a chocolate y cremosa espuma que te cubre la boca."
2207,Tyris Radler,Shandy / Radler,4.3,20.0,3.2,"Tyris Radler
Elaborada con limones frescos de la huerta valenciana que aportan un aroma natural, fresco y duradero potenciado por lúpulos cítricos. El amargor perdura en boca contrastando con la frescura del cítrico.
Anteriormente Lemonzilla"
2208,Tyris IPA,India Pale Ale,6.0,50.0,3.56,"Tyris IPA
Cerveza potente y sabrosa, lupulada. Se usan las últimas técnicas de lupulación para obtener un producto súper aromático: notas cítricas, herbales y resinosas. Ligera en trago, carbonatación media, predomina en boca el lúpulo y aparece la maltosidad en último término. Retro ..."
2209,Tyris Märzen,Oktoberfest-Marzen,5.5,30.0,3.23,"Tyris Märzen
Moderada en malta con notas aromáticas que delatan el uso de la malta caramel, se encuentra también en segundo plano con aroma ligero a malta tostada, lupulación muy ligera, casi imperceptible. Carácter de levadura lager y esteres frutados."
2210,Onobeer 69,Belgian IPA,6.9,69.0,5.0,"Onobeer 69 - √4761
Fuerte sabor a lúpulo y aroma afrutado con matices florales
Curioso dulzor en la cerveza a pesar de que posee un fuerte amargor de este tipo de cerveza. Lleva un lúpulo Hallertau Tradition, Mosaic y Columbus. Toques florales y frutales, éstos últimos recuerdan a fruta ..."
2211,Onobeer Libertá,American Pale Ale,5.5,40.0,5.0,"Onobeer Libertá
Onubense Pale Ale
Para maridar con la mejor compañía.
Cerveza con lúpulos amarillo, citra y simcoe, con lo que la hace una cerveza muy aromática donde predominan sabores y aromas cítricos fundamentalmente. Carbonatación media. Servir entre 5-7º"
2212,Onobeer Ladrona,American Brown Ale,6.5,24.0,4.9,"Onobeer Ladrona
Para conversaciones que alegran el alma.
Notas a café, regaliz y caramelo, aunque no es una cerveza densa a pesar de que tiene una carbonatación moderada/baja. Por lo que la hace un bastante refrescante si estás acostumbrado a cervezas negras con alta graduación. Muy suave ..."
2213,Castiza de Madrid Rubia,Blonde Ale,5.5,,,"Castiza de Madrid Rubia
De estilo Blond Ale, elaborada a partir de agua, malta de cebada, lúpulo y levadura. Color amarillo pálido, con espuma blanca. Refrescantes aromas y sabores cítricos, con ligeros toques a malta de cebada. Suave y agradabe paso en boca. Sedosa y persistente"
2214,Castiza de Madrid Triple Malta,Belgian and French Ale,8.3,,,"Castiza de Madrid Triple Malta
Detalles aromáticos de malta belga y acaramelados. Sabores a pan, especias y notas melosas. Redonda y llena de matices."
2215,Castiza de Madrid Tostada,English Brown,5.4,,,"Castiza de Madrid Tostada
Color ámbar oscuro con espuma de color beige de fácil formación y bastante duradera, cremosa. Aroma a maltas tostadas, fruta madura, ligeramente dulce con notas a caramelo y tostados."
2216,Moritz La Bèstia,Belgian Golden Strong Ale,8.0,30.0,3.37,"Moritz La Bèstia
La Moritz envellida en barrica y arribada de l’infern
Cerveza de color dorado ambarino. La cerveza base es seca y afrutada debido al trabajo de la levadura de alta fermentación. Su paso por barrica nueva de roble Americano-Francés le proporciona unas notas especiadas y l ..."
2217,La Pirata Away,Imperial IPA,9.0,,,"La Pirata Away
Double IPA"
2218,Valviejo Rubia,Blonde Ale,5.1,21.0,3.22,"Valviejo Rubia
Atractivamente rubia. Fácil de beber y refrescante. Para tomar sola o acompañada. Ligero sabor a malta y aromas a pan recién horneado. Con el toque justo de lúpulo que invita a repetir."
2219,Speranto Chinook Ninja Testudo,India Pale Ale,5.8,45.0,3.54,"Ninja Testudo Freak Collection Rye IPA Chinook
Primera cerveza de una serie de cuatro Rye IPAs monovarietales elaboradas con lúpulos de Órbigo Valley (León, España).
Sobre la misma receta de granos, donde el centeno es el elemento destacado, empieza esta serie de cervezas frikis que comien ..."
2220,Dawat Bosque Nórdico,Lager,5.5,,,"Dawat Bosque Nórdico
Creative IPA Lager
IPL - India Pale lager
Serie Elements
Aromas frescos que recuerdan a bosques de hierba mojada y frutas rojas maduras pero ácidas y amargas."
2221,Dawat Imperial Stout Vanilla,Imperial Stout,8.5,75.0,3.63,"Imperial Stout Vanilla
Pure
Cerveza con mucho cuerpo, de color pardo oscuro con espuma densa y compacta de marrón claro. aromas a tabaco picado y vainilla con recuerdos a repostería.
Cerveza estructurada y golosa que te llena la boca de un agradable sabor a vainilla con un final largo e ..."
2222,Dawat Crazily,Fruit Beer,4.5,,3.19,"Dawat Crazily
Beer Whispers That You Can Love
With Passion Fruit
Sweet Lager Fruit."
2223,Arriaca Imperial Russian Stout Calabaza y Canela,Russian Imperial Stout,10.1,,,"Arriaca Imperial Russian Stout Calabaza y Canela
Esta edición especial Imperial Russian Stout de Arriaca presenta una variación procedente de la incorporación de calabaza macerada en licor de café y canela, que acentúan los toques dulces y amables de la Russian original. Tiene 10,1º de  ..."
2224,Arriaca Saison Frutos Rojos,Saison,5.5,25.0,3.41,"Saison Frutos Rojos
La Saison de frutos rojos es una cerveza de estilo saison, ligeramente ácida y muy refrescante, con toques cítricos y afrutados provenientes de los frutos rojos que incorpora en el proceso de elaboración. Contiene 5,5º de alcohol. En mesa, marida con quesos maduros y az ..."
2225,El Barbas Strong Cuvée Vermouth Ale,Strong Ale,9.5,,,"El Barbas Strong Cuvée Vermouth Ale
Strong ale madurada en barricas de vermouth."
2226,El Barbas Black Invierno,Black IPA,6.7,,,"El Barbas Black Invierno
Aggressively Hopped
Black IPA"
2227,El Barbas Perraborracha,American Pale Ale,4.6,,,"El Barbas Perraborracha
American Pale Ale
Pale Ale suave y maltosa."
2228,Tibidabo Brewing Ataraxia,American Pale Ale,5.0,22.0,3.4,"Tibidabo Brewing Ataraxia
Esta cerveza es nuestro equilibrio entre las maltas y el lúpulo, entre el amagor y el dulzor, entre la cerveza suave y las fuertes. Relájate y disfruta. ¡Salud!"
2229,Tibidabo Brewing Hop Bang,American IPA,6.3,55.0,3.58,"Tibidabo Brewing Hop Bang
American IPA
Un torrente de 5 lúpulos americanos aportan aromas de melocotón, cítricos y pino, además, una combinación de 4 maltas ligeramente dulces y densas que nos dan el contrapunto. Tiene un final limpio y seco que satisface al hop head más exigente."
2230,Yria / Falken / Sesma Triunvirato,Imperial IPA,8.0,100.0,3.62,"Sesma / Yria / Falken Triunvirato
Doble IPA Doble Dry Hop de Azzaca, El Dorado, Amarillo"
2231,The Flying Inn Andrómeda,American Pale Ale,5.3,50.0,3.7,"Andrómeda
American Pale Ale
This pale ale is made for keep calm and drink all day. Lots of american hops over a solid malt."
2232,The Flying Inn El Aleph,American IPA,6.4,65.0,3.57,"El Aleph
India Pale Ale
NEIPA
""What my eyes beheld was simultaneous, but what I shall now write down will be successive, because language is successive.""
Fruity Ale brewed with New England yeast and experimental HBC-431 hops."
2233,Sesma La Picota,Belgian Strong Ale,8.5,35.0,,"Sesma La Picota
Nº 11 Belgian Strong Ale
Cerveza de estilo Belgian Strong de color ambarino, espuma persistente y jabonosa. En boca es seca y agradable. Aroma especiado con algunas notas de fruta madura."
2234,Sesma Los Huertos,India Pale Ale,6.3,38.0,3.64,"Sesma Los Huertos
Double Dry Hopped Kiwi Milkshake India Pale Ale
Cerveza de estilo Milkhsake India Pale Ale, elaborada con Kiwi ecológico del Baztán, lactosa y lúpulo Amarillo en Double Dry Hop.
De color amarillo pajizo algo velado con espuma cremosa y blanca marfil. Aromas tropicales do ..."
2235,Sesma Fuentecillas,India Pale Ale,5.2,,,"Sesma Fuentecillas
N°8 Double Dry Hop New England Pale Ale"
2236,Sesma Batch 200,Imperial Stout,11.4,50.0,3.99,"Sesma Batch 200
Imperial Nitro Crispy Stout
Imperial Stout rotunda con los matices clásicos del estilo redondeada con cereales de chocolate y nitrógeno, lo que le aporta una cremosidad impresionante y una espuma preciosa."
2237,Sesma / The Flying Inn Criptojuice,Fruit Beer,6.0,50.0,,"Criptojuice
Peach puree Citra single hopped kettle soured New England pale ale."
2238,Edge Brewing Dude,American Pale Ale,5.6,33.0,,"Edge Brewing Dude
Pale Ale
It’s Dude, so that’s what you call it. That or, uh, the Dudeness, or, uh, Duder, or La Duderina, if you’re not into the whole brevity thing. Dude is a double dry-hopped, light golden pale ale, that delivers citrus, tropical and soft fruit flavours, with a cris ..."
2239,Edge Brewing Panacea,American Pale Ale,5.5,,3.49,"Edge Brewing Panacea
Pale Ale
A stripped down malt profile makes way for hops in this showcase of tropical flavors. Panacea provides crushable pale refreshment, that is big on fruity flavor and aromas and is the cure-all for your thirst-related needs.
-------------
Un perfil de malta despoj ..."
2240,3Elementos #SoSick!,India Pale Ale,6.5,80.0,3.71,"3Elementos #SoSick!
IPA
Una IPA basada en Citra con toques de Cascade, ligera y muy aromática. Con un dry hopping #DeLocos y una carga de lúpulo fuera de lo común, prometemos que nuestra cerveza debut no os va a dejar indiferentes..."
2241,Almogàver Imperial IPA,Imperial IPA,8.5,99.0,3.88,"Almogàver Imperial IPA
Hop&Roll Imperial IPA
Doble Dry Hopping
Arrancamos en la escena de las Imperial/Double IPA con esta interpretación de tono algo más claro de lo habitual. Arrogante en nariz, rica en frutas cítricas y tropicales, pomelo y lichee, con notas a melón, maracuyá y gros ..."
2242,L’Escumatent L’Arlequinada,English Pale Ale,5.2,35.0,,"L’Escumatent L’Arlequinada
L’Arlequinada, de cos lleuger i glop fàcil, es presenta com una recepta tradicional 100% anglesa. De color daurat i escuma blanca poc persistent. El seu toc dolç i subtil aroma herbaci procedent de llúpols nobles britànics , fa de l’arlequinada una cerves ..."
2243,L’Escumatent Vella Matussera,American Brown Ale,6.7,27.0,,"L’Escumatent Vella Matussera
De color coure amarronat i escuma blanca persistent. Amb considerable cos i aroma maltos, lleu sabor amarg,obtingut a través de la presencia de llúpols, i, alhora amb un toc doç procedent de les maltes caramel-litzades."
2244,L’Escumatent Cal Segolet,American Pale Ale,6.5,40.0,3.4,"L’Escumatent Cal Segolet
Rye APA
American Pale Ale
La subtil presència del sègol, li atorga a aquesta Pale una suau i especiada sequedat, que combina amb els aromes cítrics i les notes a fruites tropicals, procedents dels llúpols Americans. "
2245,CCVK 28038,American IPA,6.0,,3.38,"CCVK 28038
Con cantidades ingentes de Columbus procedente del Valle del Órbigo. En honor al barrio de Vallecas y por supuesto a su código postal. Toda una insignia del barrio."
2246,Malandar Carajaula #1,American IPA,6.0,33.0,,"Malandar Carajaula #1
NEIPA, New England IPA
Frescura a flor de piel. Con base de lúpulos americanos frescos, que le aportan una base de amargor muy interesante, así como un sabor y aroma realmente extraordinarios.
 "
2247,Goda Monasterio,Belgian Dubbel,7.8,,,"Goda Monasterio
Belgian Dubbel
Cerveza tostada de color intenso entrada fácil sabor a caramelo y regaliz. Elaborada con maltas tostadas y caramelizadas, no muy amarga, pero eso sii… un toque especiado con semillas de cardamomo, cilantro y nuez moscada que la hacen muy especial."
2248,Goda 653,Weizen-Weissbier,5.5,,,"Goda 653
Weissbier
Cerveza de trigo suave y refrescante. Elaborada con malta pilsner y malta trigo, poquito amargor y un toque de naranja al final para hacerla mas cítrica."
2249,Lluna Mald’duc,American Brown Ale,5.6,28.0,,"Lluna Mald’duc
Cerveza oscura con aroma complejo. Monovarietal de Chinook."
2250,Cuernos de Pez Hidra Inmunda,Lager,4.6,,,"Cuernos de Pez Hidra Inmunda
Hoppy Lager
De color amarillo como un atardecer sobre un  catamarán, con espuma de mar. Su aroma te traslada a la costa mediterránea, cítricos y frutas de hueso... huele a concierto de rock and roll pero con todo el mundo recién duchado con champú tropical mov ..."
2251,Naparbier Achtung!,Pilsner,6.7,,,"Naparbier Achtung!
Imperial Pils
Base de malta simple y una buena cantidad de lupulos Checos en boil y dry hopping."
2252,Naparbier Fuzzy,American IPA,5.8,40.0,3.55,"Naparbier Fuzzy
New England Pale Ale
All Citra Pale ale 5,8%. New England pale ale con cantidades escandalosas de Citra y mas Citra para beber a litros."
2253,Ballut Azarías,American Brown Ale,5.3,25.0,3.06,"Ballut Azarías
El éxito de Azarías, se debe a ser una cerveza pura y casta extremeña, robusta y extrema. Con su color castaño y espuma marfil, desarrolla un potente aroma con recuerdos azucarados y tenues herbales. Se confirma la impresión con un profundo amargor pero bien equilibrada, c ..."
2254,La Pirata / Dougall’s Eau D’Houblon,American Pale Ale,5.0,40.0,3.47,"La Pirata / Dougall’s Eau D’Houblon
Una cerveza a la que teníamos muchas ganas, ya que está elaborada en colaboración con nuestros amigos de Dougall’s y utilizando lúpulos locales (chinook y cascade), cultivados por Lupulina.
Una pale ale llena de sabor y aroma; suave y fresca… � ..."
2255,La Calavera Afterlife,Saison,5.7,25.0,3.78,"La Calavera Afterlife
Farmhouse Brett Ale"
2256,La Calavera Fuckbiol,Sour Ale,4.7,15.0,3.52,"La Calavera Fuckbiol
Unlimited Ignorance
Hoppy Sour"
2257,Garage Beer Co Sixbar,Sour Ale,6.0,,4.03,"Garage Beer Co Sixbar
Sour Ale Brewed With Grape juice
Sour con mosto de Merlot, fermentada con el método tradicional del champagne y con levadura de cava, envejecida durante un año en barricas de vino y durante 11 meses en botellas."
2258,Garage Beer Co Bright,American IPA,6.7,,,"Garage Beer Co Bright
India Pale Ale
American IPA. Para su elaboración se ha empleado malta Extra Pale Ale y Dextrina y la levadura experimental BRY-97. Con lúpulos Palisade, Chinook, Simcoe y Mosaic. Notas frutales, con toques de fruta de hueso y cítricos, y un amargor medio alto."
2259,La Pepa Pale Ale,Pale Ale,5.7,30.0,5.0,"La Pepa Pale Ale
Esta cerveza de alta fermentación se muestra en la copa con un color dorado claro y con una corona de espuma blanca y densa. Con notas afrutadas, flores amarillas, hierba seca y tostado. En boca tiene un cuerpo medio, burbuja muy fina que se hace crema en boca, con un caracter ..."
2260,La Pepa IPA,India Pale Ale,6.2,45.0,5.0,"La Pepa IPA
Como buena India Pale Ale, que para que sobrevivieran en el viaje hasta la India se les incrementaba el alcohol y el lúpulo significativamente, es una cerveza con personalidad, intensa en aromas y potente en sabores. Olores tropicales y florales resultado de la delicada selección  ..."
2261,La Pepa Ámbar,Blonde Ale,5.5,28.0,5.0,"La Pepa Ámbar
Esta cerveza de alta fermentación de color ámbar (de ahí su nombre) y con una corona de espuma densa cremosa. Con un leve toque cítrico y notas a maltas, tostados y ahumados. En boca revela su verdadera personalidad. Con una densidad que no te deja indiferente, extremadamente ..."
2262,La Pepa Trigo,Weizen-Weissbier,5.0,18.0,5.0,"La Pepa Trigo
Esta Pepa se muestra en la copa con un color amarillo turbio (por la levadura en suspensión que contiene, ya que no la filtramos, sólo decantamos) y con una corona de espuma blanca y delicada. Con notas a cítricos, matices de cereal, pan y vagos aromas de banana. En boca tiene  ..."
2263,Espiga Porter,Porter,5.0,57.0,3.51,"Espiga Porter
Robusta y atractiva. De color marrón oscuro caoba con notas de chocolate, caramelo y galleta.
La Espiga Porter se trata de una cerveza de 5º de alcohol y un amargor que se sitúa en los 57 IBU. Además, es una cerveza elaborada a base de maltas Pale Ale, Carafa, Chocolate, Cry ..."
2264,Sargs Session IPA,India Pale Ale,4.5,39.0,3.22,"Session IPA
Color amarillo pálido con espuma de color blanquecino y retención correcta. Aroma afrutada.
Cerveza de cuerpo ligero y carbonatación media, fácil de beber con un final amargo.
Cerveza muy fresca, ligera y fácil de beber."
2265,Sanabria Rubia,Blonde Ale,4.5,,2.8,"Sanabria Rubia
Bonito color ámbar con bella intensidad de oro viejo, turbia sin filtrar para aportar todos sus aromas en nariz y en boca.
Una explosión de sabores crujientes al paladar, con espuma densa, capa persistente cremosa y carbónica muy bien integrada donde permanece la sensación  ..."
2266,Abadía Avalon Summer Faerie Fest,Pale Ale,5.5,,,"Avalon Summer Faerie Fest
Cerveza muy refrescante a la vez que intensa con tres maltas y un lúpulo cítrico además de un toque de corteza de naranja seca que le aportan ciertas notas cítricas y florales. Con color anaranjado brillante y espuma blanca con burbujas pequeñas."
2267,Brew & Roll Avalon,India Pale Ale,6.5,72.0,,"Brew & Roll Avalon
India Pale Ale
Colaboración entre Brew & Roll y el homebrewer Jose Antonio Ruiz. Se trata de una IPA compensada, fácil de beber con retrogusto amargo.
 "
2268,Sparta Pale Ale,American Pale Ale,4.8,29.0,,"Sparta Pale Ale
Se trata de una receta que unifica las cualidades de una óptima mouthfeel y un índice IBU agradable para cerveceros tanto más experimentados como amateur."
2269,Speranto Bengala Tigro edición 2017,Weizenbock,7.8,24.0,4.01,"Speranto Bengala Tigro 2017
Weizenbock añejada con chips de madera de roble americano, regados en Bulleit Bourbon.
Una combinación de notas frutales, especiadas y caramelizadas, junto con marcadas notas a roble y Bourbon.
Edición anual, en la que se irán cambiando algunos detalles de la cerveza."
2270,Caleya Ayalga,India Pale Ale,6.7,,3.81,"Caleya Ayalga
India Pale Ale
Con avena y trigo."
2271,Guineu / La Quince Chocolate Black Velvet,Russian Imperial Stout,9.5,,,"Guineu / La Quince Chocolate Black Velvet
Chocolate Black Velvet es una variación con chocolate de la celebrada Vanilla Black Velvet.
Color negro opaco y brillante y un densa espuma beige. Los aromas a chocolate negro prevalecen gracias a la utilización de bayas de cacao en la elaboración."
2272,Guineu / Green Street Iron Pig Cognac Edition,Russian Imperial Stout,11.0,,,"Guineu / Green Street Iron Pig Cognac Edition
Russian Imperial Stout Cognac barrel Aged"
2273,Kondaira Patxaran,Red Ale,6.3,,3.08,"Pacharán
Antes Kondaira 1067 
Cerveza de doble fermentación, con pacharán de Viana de Denominación de Origen Navarra. Cerveza oscura con intensos reflejos rojizos y espuma densa.
En boca, Kondaira Patxaran presenta un cuerpo robusto y dulzón con sutiles notas a tostado, mientras en nariz ..."
2274,Kondaira Pasiflor,Fruit Beer,6.3,,2.99,"Kondaira Pasiflor
Kondaira Pasiflor nace de las cervezas Indian Pale Ale, o comúnmente llamadas IPA, cervezas extremadamente amargas que se enviaban desde Inglaterra a su colonia de las Indias Orientales. Cervezas muy polarizantes, no todos los paladares consiguen apreciar ese punch de amargor ..."
2275,Kondaira Negra,Schwarzbier (Black Beer),6.1,,3.34,"Kondaira Negra
Kondaira Negra es una cerveza independiente; no pertenece a ninguna de las categorías de cerveza negra ya conocidas. De baja fermentación, subliman su carácter la unión de selectas maltas torrefactas y el regaliz de palo de Corella, que las suaviza y redondea.
Su profundo col ..."
2276,Kondaira Blanca,Witbier,5.1,,3.29,"Kondaira Blanca
Cerveza blanca de trigo, de alta fermentación y bajo amargor, elaborada con manzanilla ecológica de Urbasa (Navarra).
La manzanilla, la naranja, las especias y los sutiles aromas cítricos y florales del lúpulo, forman un bouquet aromático muy equilibrado y, a su vez, muy ag ..."
2277,Kondaira Tostada,Doppelbock,7.0,,3.3,"Kondaira Tostada
Como tributo a los celtíberos que utilizaron granos de cebada tostada en su caelia, esta cerveza de baja fermentación está elaborada con distintas maltas tostadas.
Éstas le confieren su color y su sabor pronunciado a caramelo y a cereales, redondeado por los aromas herbáce ..."
2278,Kondaira Especial,Lager,5.5,,2.76,"Kondaira Especial
Declinación de “la caña de toda la vida”. Cerveza de baja fermentación elaborada con 3 maltas y 3 lúpulos.
Su color ámbar contrasta agradablemente con su espuma blanca y densa; en nariz los aromas cítricos y florales de sus lúpulos se compenetran, mientras en boca l ..."
2279,Bonvivant El Increíble Hombre Menguante,American IPA,6.1,32.0,3.55,"Bonvivant El Increíble Hombre Menguante
Fruit IPA"
2280,Daura Shandy,Shandy / Radler,3.2,,,"Daura Shandy
Clara sin gluten con sabor a limón.
La primera clara sin gluten con todo el sabor de una cerveza con limón y toda la garantía de calidad de Daura. Destaca por su equilibrio entre la acidez cítrica del limón y una punta de dulzor. Ideal para beber entre 3 y 5ºC. Contiene men ..."
2281,Basqueland / Magic Rock Chucker,India Pale Ale,5.2,28.0,3.93,"Basqueland / Magic Rock Chucker
Session IPA de color amarillo pálido coronado por una hermosa espuma blanca. Fragancias de pomelo, fruta fresca y lúpulo. Sabores de malta, pomelo y frutas exóticas."
2282,The Flying Inn Local Roast,Porter,5.8,65.0,3.66,"The Flying Inn Local Roast
Export Porter with Single-Origin Specialty Coffee
Export Porter elaborada en colaboración con los tostadores de café Puchero Coffee Roasters.
Aspecto negro opaco. Cabeza de espuma color canela. Aromas a café predominante, cacao y maltas tostadas.
En boca café, ..."
2283,Quer Yuzu,Belgian Blonde Ale,6.0,,,"Quer Yuzu
Belgian Hoopy With Yuzu"
2284,Quer Red Shoot,Red Ale,6.0,,,"Quer Red Shoot
Imperial Red Saison"
2285,Quer Xili Mango,"Spice, Herb o Vegetable Beer",6.0,,3.69,"Quer Xili Mango
American pale Ale with xile and mango.
Afruitada amb un toc picant"
2286,Quer / Zulogaarden Zero IBUs,American IPA,6.0,,,"Quer / Zulogaarden Zero IBUs
Us presentem la imatge de la collabo Quer & Zulogaarden, la ""ZERO IBUS"", amb triple dry hop i mandanga de la bona.
En breu disponible, aquest cop només en barril, ja que els companys de duanes l’han liat i l’enllaunadora està aturada a Alderaan. El proper lo ..."
2287,Mond Especial,Blonde Ale,6.0,15.0,,"Mond Especial
Cerveza artesana color ámbar, espuma gruesa, sutil en nariz y perfume a miel. En boca desliza untuosa con una comedida dulzura. Finaliza limpia y con un suave amargor de contrapunto.
 "
2288,Mond Ecológica,Pale Ale,6.0,15.0,,"Mond Ecológica
Cerveza artesana de color brillante, crema blanca y cremosa. Moderado aroma a malta con notas florales, procedente de los lúpulos utilizados. Dulzor suave inicial procedente de la malta, con un sabor equilibrado a lúpulos nobles y frescos debido a un equilibrio de maltas y l� ..."
2289,Mond Invierno,Amber Ale,6.0,15.0,,"Mond Invierno
Una cerveza artesana de color ámbar, de alta transparencia, con una capa de espuma generosa, de color blanco y burbuja pequeña. Muy equilibrada, en boca es dulce y amarga por igual. Aroma claramente a malta y a notas de suave tostado, a corteza de pan y caramelo. La espuma se p ..."
2290,Olajaun Amayluna,Lager,5.1,40.0,,"Olajaun Amayluna
Pisa con Arte
Hoppy Lager
Olajaun Amayluna es un homenaje a ella, a Cristina, y de alguna manera a todas esas mujeres que han luchado por los demás y por hacer de este mundo un lugar mejor. Impregnando el arte de Amayluna en esta edición hemos querido dar color y arte al s ..."
2291,Brew & Roll BIO10,Blonde Ale,5.5,32.0,3.35,"Brew & Roll BIO10
Hoppy Haze Blonde
Colaboración muy especial con Biere Lescarre. Una Hoppy Hazy Blonde en la que hemos utilizado maltas y lúpulos biológicos cultivados por la propia cervecera francesa. En cuanto a la cerveza en sí, podemos decir que tiene un color dorado con una turbidez ..."
2292,Reptlian / Zulogaarden Droja Mala,American IPA,6.66,66.0,,"Reptlian / Zulogaarden Droja Mala
NEIPA
Es un Zapatazo in your f*king mouth de f*uking JoPjEd madafaka you die hard, you faking beergeek we make a mistake and we put more hops than previst in the fakin libreta. Con lúpulos escruanjer, fliper, megafuti, liada máxima y flanjer. También lleva ..."
2293,Reptlian / Zulogaarden Droja Güena,Lager,6.0,,,"Reptlian / Zulogaarden Droja Güena
Rice India Pale Lager
Des del cau del reptil més evolucionat de la Costa Daurada estan sortint propulsats fardakos de Droja GüenaA sense tallar. Aquesta segona entrega de la sèrie “Drojas”, i que segueix a la Droja Mala, és el fruit de la col•labo ..."
2294,La Grúa Pig Panic,American IPA,5.7,35.0,3.56,"La Grúa Pig Panic Hazy IPA
Hazy IPA de 5,7%. ABV con lúpulos Centennial y Mosaic y levadura Vermont, si te gustó Amnesia Haze, prepárate para otro bombazo de lúpulo fresco!"
